Departure station,Departure,Return station,Return,Duration (sec.),Covered distance (m),departure_latitude,departure_longitude,return_latitude,return_longitude
Rue Jules Ferry,2023-12-15 19:43:34,Jardin de la Lironde,2023-12-15 19:57:37,838,2881.0,43.60538357410034,3.881074193325897,43.6058517,3.9115715
Malbosc,2023-12-15 19:31:57,Place Viala,2023-12-15 19:45:58,836,3798.0,43.634623000000005,3.833112359072003,43.6168167,3.8550842
Charles Flahault,2023-12-15 19:28:33,Comédie,2023-12-15 19:39:21,644,1927.0,43.6184031,3.8663896,43.60918635,3.8815040936105776
Comédie,2023-12-15 19:20:08,Renouvier,2023-12-15 19:26:07,354,1133.0,43.60918635,3.8815040936105776,43.60358,3.8678865
Comédie,2023-12-15 19:19:07,Comédie,2023-12-15 19:19:37,26,2.0,43.60918635,3.8815040936105776,43.60918635,3.8815040936105776
Aiguelongue,2023-12-15 19:18:47,Boutonnet,2023-12-15 19:26:25,454,1721.0,43.6331438,3.8795261,43.6198269,3.8681402
Plan Cabanes,2023-12-15 19:15:44,Hôtel de Ville,2023-12-15 19:27:21,693,2552.0,43.60849965,3.868610969046943,43.5985194,3.896631891721937
Les Arceaux,2023-12-15 19:12:41,Plan Cabanes,2023-12-15 19:15:35,170,492.0,43.6118401,3.8623604,43.60849965,3.868610969046943
Renouvier,2023-12-15 19:12:08,Rue Jules Ferry,2023-12-15 19:21:00,528,1400.0,43.60358,3.8678865,43.60538357410034,3.881074193325897
Corum,2023-12-15 19:08:02,Place Viala,2023-12-15 19:22:24,857,2766.0,43.614366,3.882027979797976,43.6168167,3.8550842
Père Soulas,2023-12-15 19:04:48,Les Arceaux,2023-12-15 19:12:51,476,1500.0,43.6219699,3.855618,43.6118401,3.8623604
Place Viala,2023-12-15 18:56:59,Renouvier,2023-12-15 19:07:56,653,2152.0,43.6168167,3.8550842,43.60358,3.8678865
Deux Ponts - Gare Saint-Roch,2023-12-15 18:54:26,Richter,2023-12-15 19:01:27,416,1551.0,43.604359,3.8810025,43.6037969,3.8989223
Fac des Sciences,2023-12-15 18:46:59,Place Albert 1er - St-Charles,2023-12-15 22:30:52,13429,3502.0,43.6312537,3.8612405,43.6165623,3.874061
Les Arceaux,2023-12-15 18:45:36,Voltaire,2023-12-15 18:54:19,519,2250.0,43.6118401,3.8623604,43.6037049,3.8892253
Les Arceaux,2023-12-15 18:44:51,Les Arceaux,2023-12-15 18:45:17,22,2.0,43.6118401,3.8623604,43.6118401,3.8623604
Renouvier,2023-12-15 18:43:29,Odysseum,2023-12-15 19:05:53,1340,5141.0,43.60358,3.8678865,43.60441055,3.9212018171142855
Parvis Jules Ferry,2023-12-15 18:40:24,Nouveau Saint-Roch,2023-12-15 18:43:44,196,714.0,43.87068,3.83801,43.5992903,3.8756446
Odysseum,2023-12-15 18:39:41,Plan Cabanes,2023-12-15 19:03:27,1422,4753.0,43.60441055,3.9212018171142855,43.60849965,3.868610969046943
Richter,2023-12-15 18:37:28,Nouveau Saint-Roch,2023-12-15 18:51:40,847,2619.0,43.6037969,3.8989223,43.5992903,3.8756446
Odysseum,2023-12-15 18:36:54,Saint-Denis,2023-12-15 18:52:24,926,4045.0,43.60441055,3.9212018171142855,43.6050394,3.8750227
Médiathèque Emile Zola,2023-12-15 18:36:12,Renouvier,2023-12-15 18:54:36,1099,2436.0,43.6082468,3.8930561,43.60358,3.8678865
Nombre d'Or,2023-12-15 18:35:44,Hôtel de Ville,2023-12-15 18:40:49,299,1276.0,43.6079002,3.8866534,43.5985194,3.896631891721937
Médiathèque Emile Zola,2023-12-15 18:35:20,Port Marianne,2023-12-15 18:46:25,660,2223.0,43.6082468,3.8930561,43.6059165,3.9168169
Comédie,2023-12-15 18:32:39,Richter,2023-12-15 18:41:04,501,1933.0,43.60918635,3.8815040936105776,43.6037969,3.8989223
Observatoire,2023-12-15 18:24:15,Voltaire,2023-12-15 18:29:48,330,1092.0,43.61452665,3.871080728556718,43.6037049,3.8892253
Vert Bois,2023-12-15 18:21:26,Corum,2023-12-15 18:36:35,903,3410.0,,,43.614366,3.882027979797976
Place Albert 1er - St-Charles,2023-12-15 18:11:57,Garcia Lorca,2023-12-15 18:28:20,978,3834.0,43.6165623,3.874061,43.58775425,3.887108641280807
Nouveau Saint-Roch,2023-12-15 18:08:26,Garcia Lorca,2023-12-15 18:19:32,661,1933.0,43.5992903,3.8756446,43.58775425,3.887108641280807
Plan Cabanes,2023-12-15 18:07:12,Place Viala,2023-12-15 18:18:54,697,1727.0,43.60849965,3.868610969046943,43.6168167,3.8550842
Nouveau Saint-Roch,2023-12-15 18:07:03,Garcia Lorca,2023-12-15 18:19:42,753,2105.0,43.5992903,3.8756446,43.58775425,3.887108641280807
Cité Mion,2023-12-15 18:02:49,Nombre d'Or,2023-12-15 18:26:00,1386,2454.0,43.6011431,3.8844511,43.6079002,3.8866534
Marie Caizergues,2023-12-15 18:01:11,Parvis Jules Ferry,2023-12-15 18:10:48,572,2244.0,43.619655,3.8733067,43.87068,3.83801
Euromédecine,2023-12-15 17:58:59,Louis Blanc,2023-12-15 18:21:20,1336,6115.0,43.63893875,3.827694941374258,43.6146919,3.8782052427712976
Charles Flahault,2023-12-15 17:56:52,Halles Castellane,2023-12-15 18:06:37,584,1500.0,43.6184031,3.8663896,43.61012445,3.876843401959306
Boutonnet,2023-12-15 17:56:51,Aiguelongue,2023-12-15 18:07:15,620,1907.0,43.6198269,3.8681402,43.6331438,3.8795261
